%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
1.74258808415773E+018,24316,0,,0,0,0,0,0
1.74258808418013E+018,24317,0,,0,0,0,0,0
1.74258808420932E+018,24318,0,,0,0,0,0,0
1.74258808422777E+018,24319,0,,0,0,0.11686822772,0,0
1.74258808425934E+018,24320,0,,0,0,0.39143845439,0,0
1.74258808428315E+018,24321,0,,0,0,0.516243100166,0,0
1.74258808430894E+018,24322,0,,0,0,0.76585239172,0,0
1.742588084328E+018,24323,0,,0,0,0.815774202347,0,0
1.7425880843568E+018,24324,0,,0,0,0.865696072578,0,0
1.74258808437834E+018,24325,0,,0,0,0.865696072578,0,0
1.74258808440863E+018,24326,0,,0,0,0.865696072578,0,0
1.74258808443036E+018,24327,0,,0,0,0.865696072578,0,0
1.74258808445407E+018,24328,0,,0,0,0.865696072578,0,0
1.74258808448052E+018,24329,0,,0,0,0.865696072578,0,0
1.74258808450613E+018,24330,0,,0,0,0.865696072578,0,0
1.74258808452764E+018,24331,0,,0,0,0.865696072578,0,0
1.74258808456125E+018,24332,0,,0,0,0.865696072578,0,0
1.74258808458161E+018,24333,0,,0,0,0.865696072578,0,0
1.74258808460766E+018,24334,0,,0,0,0.865696072578,0,0
1.74258808462923E+018,24335,0,,0,0,0.865696072578,0,0
1.74258808465841E+018,24336,0,,0,0,0.865696072578,0,0
1.74258808468615E+018,24337,0,,0,0,0.865696072578,0,0
1.74258808470216E+018,24338,0,,0,0,0.865696072578,0,0
1.74258808472995E+018,24339,0,,0,0,0.865696072578,0,0
1.74258808475244E+018,24340,0,,0,0,0.865696072578,0,0
1.7425880847783E+018,24341,0,,0,0,0.865696072578,0,0
1.74258808480315E+018,24342,0,,0,0,0.865696072578,0,0
1.74258808482714E+018,24343,0,,0,0,0.865696072578,0,0
1.74258808485286E+018,24344,0,,0,0,0.865696072578,0,0
1.74258808487726E+018,24345,0,,0,0,0.865696072578,0,0
1.74258808490219E+018,24346,0,,0,0,0.865696072578,0,0
1.74258808492655E+018,24347,0,,0,0,0.865696072578,0,0
1.7425880849523E+018,24348,0,,0,0,0.865696072578,0,0
1.74258808497721E+018,24349,0,,0,0,0.865696072578,0,0
1.74258808500218E+018,24350,0,,0,0,0.865696072578,0,0
1.74258808502717E+018,24351,0,,0,0,0.865696072578,0,0
1.74258808505225E+018,24352,0,,0,0,0.865696072578,0,0
1.74258808507745E+018,24353,0,,0,0,0.865696072578,0,0
1.74258808510234E+018,24354,0,,0,0,0.865696072578,0,0
1.74258808512802E+018,24355,0,,0,0,0.865696072578,0,0
1.74258808515356E+018,24356,0,,0,0,0.865696072578,0,0
1.74258808517727E+018,24357,0,,0,0,0.865696072578,0,0
1.7425880852034E+018,24358,0,,0,0,0.865696072578,0,0
1.74258808522793E+018,24359,0,,0,0,0.865696072578,0,0
1.74258808525404E+018,24360,0,,0,0,0.865696072578,0,0
